REGION,TECHNOLOGY,VALUE
"RE1","MINCOA_A",356.519965814763
"RE1","MINOIL_A",31.5674385156717
"RE1","MINNGS_A",1051.13927136054
"RE1","PWRCOA_A",132.044431783246
"RE1","PWROHC_A",11.0375659145705
"RE1","PWRNGS001_A",466.004321109692
"RE1","PWRNGS002_A",24.5796647004145
"RE1","PWRTRN_A",4383.31263728302
"RE1","PWRDIST_A",3957.25985901741
"RE1","MINBIO_A",49.89404867399
"RE1","PWRBIO_A",17.4454715643322
"RE1","MINHYD_A",148.469857713926
"RE1","PWRHYD_A",139.565611668705
"RE1","MINGEO_A",4098.28517864621
"RE1","PWRGEO_A",3278.62814291698
"RE1","MINSOL_A",550.233986116762
"RE1","PWRSOL_A",533.252440668099
"RE2","PWRWND_B",5071.42793911252
"RE2","PWRTRN_B",4781.3147463866
"RE2","PWRDIST_B",3968.63258986346
"RE2","MINWND_B",5085.08531778719
